"asset_id","local_path","source_kind","author_recorded","source_url_recorded","license_recorded","legal_verification","status","owner","evidence"
"blog-rich-valdes-peninsula-national-park-gallery-1","media/places/valdes-peninsula/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-peninsula-valdes-gallery-1","media/argentina-travel/peninsula-valdes/1627314688246-angel_velez___peninsula_valdes_3.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-peninsula-valdes-gallery-2","media/argentina-travel/peninsula-valdes/1627314695936-lober_a_punta_norte_2.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-peninsula-valdes-gallery-3","media/argentina-travel/peninsula-valdes/1627314702558-chubut___fauna__1_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-peninsula-valdes-hero","media/argentina-travel/peninsula-valdes/1627314679824-caleta_valdes__3_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-cerro-de-los-7-colores-hero","media/places/cerro-de-los-7-colores/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-cerro-de-los-7-colores-gallery-1","media/places/cerro-de-los-7-colores/gallery-1.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"place-tren-de-las-nubes-hero","media/places/tren-de-las-nubes/hero.jpg","wikimedia","yes","yes","yes","not_performed_by_automated_audit","blocked_or_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-tren-a-las-nubes-gallery-1","media/argentina-travel/tren-a-las-nubes/1628592108042-foto_carlos_vergara___tren_a_las_nubes__1__baja.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
"at-tren-a-las-nubes-gallery-2","media/argentina-travel/tren-a-las-nubes/1628592114978-foto_carlos_vergara___tren_a_las_nubes__55_.jpg","argentina.travel","yes","yes","yes","not_performed_by_automated_audit","metadata_complete_review_required","Media rights owner","var/ops/media-rights-readiness.json + docs/audit/media-rights-readiness-2026-07-16.md"
