id,type,url,title,status,word_count,threshold,gap_words,quality_score,severity,recommended_action,source_path,evidence
kb:intendente-alvear,attraction,/baza-znaniy/intendente-alvear,Intendente Alvear,stub,57,500,443,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/intendente-alvear.md,word_count=57; type_threshold=500
kb:parque-provincial-cordon-del-plata,national_park,/baza-znaniy/parque-provincial-cordon-del-plata,Провинциальный парк Кордон-дель-Плата,published,57,500,443,78,high,DEEP_REWRITE,content/knowledge-base/natsionalnye-parki/parque-provincial-cordon-del-plata.md,word_count=57; type_threshold=500
kb:turismo-religioso-en-salta,attraction,/baza-znaniy/turismo-religioso-en-salta,Religious Tourism in Salta,stub,57,500,443,73,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/turismo-religioso-en-salta.md,word_count=57; type_threshold=500
place:ischigualasto,place,/places/ischigualasto,Исчигуаласто (Лунная долина),published,57,500,443,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=57; type_threshold=500
place:saltos-del-mocona,place,/places/saltos-del-mocona,Сальтос-дель-Моконá,published,57,500,443,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=57; type_threshold=500
place:san-martin-de-los-andes,place,/places/san-martin-de-los-andes,Сан-Мартин-де-лос-Андес,published,57,500,443,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=57; type_threshold=500
kb:cholila,attraction,/baza-znaniy/cholila,Cholila,stub,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/cholila.md,word_count=58; type_threshold=500
kb:colonia-menonita-en-la-pampa,attraction,/baza-znaniy/colonia-menonita-en-la-pampa,Mennonite Colony in La Pampa,published,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/colonia-menonita-en-la-pampa.md,word_count=58; type_threshold=500
kb:cuesta-del-viento,attraction,/baza-znaniy/cuesta-del-viento,Cuesta del Viento,stub,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/cuesta-del-viento.md,word_count=58; type_threshold=500
kb:el-hoyo,attraction,/baza-znaniy/el-hoyo,El Hoyo,published,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/el-hoyo.md,word_count=58; type_threshold=500
kb:herradura,attraction,/baza-znaniy/herradura,Herradura,stub,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/herradura.md,word_count=58; type_threshold=500
kb:pesca-en-neuquen,attraction,/baza-znaniy/pesca-en-neuquen,Fishing in Neuquén,stub,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/pesca-en-neuquen.md,word_count=58; type_threshold=500
kb:posadas,city,/baza-znaniy/posadas,Posadas,stub,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/goroda/posadas.md,word_count=58; type_threshold=500
kb:ruta-40-en-chubut,attraction,/baza-znaniy/ruta-40-en-chubut,Ruta 40 in Chubut,published,58,500,442,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/ruta-40-en-chubut.md,word_count=58; type_threshold=500
kb:sabores-riojanos,attraction,/baza-znaniy/sabores-riojanos,La Rioja Tastes,stub,58,500,442,73,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/sabores-riojanos.md,word_count=58; type_threshold=500
place:rosario,place,/places/rosario,Росарио,published,58,500,442,28,high,DEEP_REWRITE,src/data/places-seed.ts,word_count=58; type_threshold=500
kb:campo-del-cielo,attraction,/baza-znaniy/campo-del-cielo,Campo del Cielo,stub,59,500,441,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/campo-del-cielo.md,word_count=59; type_threshold=500
kb:carcarana,attraction,/baza-znaniy/carcarana,Carcarañá,stub,59,500,441,78,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/carcarana.md,word_count=59; type_threshold=500
kb:circuito-cultural-en-formosa,attraction,/baza-znaniy/circuito-cultural-en-formosa,Cultural circuit in Formosa,stub,59,500,441,66,high,DEEP_REWRITE,content/knowledge-base/dostoprimechatelnosti/circuito-cultural-en-formosa.md,word_count=59; type_threshold=500
